曲名,サムネ用リンク,公開日,歌唱,ユニット,男女,備考,備考2,備考3,MV公開,MVリンク,3Dリンク,踊ろう！,振付リンク,振付リンク2,ライバー自身が制作（作曲・イラスト等）,ファンメイド,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3Dリンク2,3Dリンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・ハッピー,可愛い・ポップな,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
浮世の演舞,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,2020/04/04,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,男性,作詞：VΔLZ,作曲：弦月藤士郎,編曲：弦月藤士郎,TRUE,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,https://youtu.be/YhHoxoycFg8?si=kuo6VwjReHaVx3Il,FALSE,,,TRUE,FALSE,,,,FALSE,FALSE,,FALSE,,,,,https://www.youtube.com/live/7K0ouzmSCSE?si=HwqeI_kG8hAVbRoP&t=1848,,,VΔLZの出身地『桜魔帝国』を表すような和風エレクトロな雰囲気の楽曲。初配信時にリレーお披露目された。,VS,128,,,,10,,,,,,,30,25,25,10,,,,,5,3,30,20,100,
むじんとうのうた,https://youtu.be/2tOFX4gIEXY?si=6C0sZLaEQwbS2rlB&t=996,2021/10/21,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,作詞：甲斐田晴,作曲：甲斐田晴,,FALSE,,,FALSE,,,TRUE,FALSE,,,,TRUE,FALSE,,FALSE,,,,,https://youtu.be/2tOFX4gIEXY?si=6C0sZLaEQwbS2rlB,https://rof-mao.lnk.to/crack_upID,,,,112,,10,,,,,,15,,,,,,15,,,10,20,5,0,20,14,70,
"New street, New world",https://youtu.be/ujRs5GpOkj0?si=LaVkHvq273Llfjon,2021/11/19,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/ujRs5GpOkj0?si=LaVkHvq273Llfjon,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,FALSE,https://www.youtube.com/live/JZ3sYu1WDC8?si=89wHRZQvg3gRGnkR&t=2045,,,,,,,,,208,25,,5,30,,,,12.5,,,27.5,,,,,,,,5,3,30,20,100,
前進宣言,https://youtu.be/8h7r8HEnZBE?si=ccff4IKu86binoED,2022/01/28,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/8h7r8HEnZBE?si=ccff4IKu86binoED,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,TRUE,,,,,,,,,,197,22.5,,20,30,,,,,,2.5,25,,,,,,,,5,2,30,20,100,
I wanna! You wanna!,https://youtu.be/UHIzGsYHic8?si=3zRZjpwM2aRMgytB,2022/04/01,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/UHIzGsYHic8?si=3zRZjpwM2aRMgytB,,TRUE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,FALSE,https://www.youtube.com/live/Ip0bQfyoqgs?si=ED0rW-PTmdgB1Hug&t=7724,,CDL,,https://www.instagram.com/tv/Cga2gbelgmg/?igsh=MWFmMWh1MTI0YWt1Yw==,https://www.instagram.com/tv/CgbdibPFNx_/?igsh=dG9nYzlpaGczd3g=,https://youtu.be/BgMmvry2UE0?si=6eEujbuUvteLX6yW,,,152,,,30,,,25,2.5,7.5,,,17.5,17.5,,,,,,,6,2,30,16.66666667,100,
Let's Get The Party Started!,https://youtu.be/CQSQShagyEY?si=hZmU9Oi6l9ztRR-L,2022/04/13,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,TRUE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,FALSE,,,,,https://www.instagram.com/tv/CgdaYc7lrXV/?igsh=eXRraXVkOXh5Y29x,https://www.instagram.com/tv/CgeBJ5kFM3f/?igsh=OW8wZG5leXdkcmNj,,,,126,,,25,,,20,,,,12.5,10,10,,,,,,22.5,6,1,25,16.66666667,100,
知っている手紙,https://youtu.be/XDwqCbA1cIU?si=DparkH6Ryhf8I_mv,2022/04/13,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,TRUE,https://youtu.be/XDwqCbA1cIU?si=DparkH6Ryhf8I_mv,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,FALSE,,,,,,,,,,138,,15,,,,15,,20,,,,,,,,30,20,,5,1,30,20,100,
ラックハック,https://youtu.be/p3SL-3518n8?si=Pg7_D1O2VWldabFf,2022/04/13,剣持刀也、加賀美ハヤト、不破湊、甲斐田晴,ROF-MAO,男性,,,,FALSE,,,FALSE,,,FALSE,FALSE,,,,TRUE,TRUE,https://rof-mao.lnk.to/crack_upID,FALSE,https://www.youtube.com/live/qVylRMGabv8?si=mrE7J-ADNPplTvNF&t=2382,,,,,,,,,146,20,,,,,,,7.5,7.5,,30,35,,,,,,,5,2,35,20,100,
透明な心臓が泣いていた,https://youtu.be/mXtmU1Rmel8?si=QINM4nfRAgpJqVd0,2022/05/06,甲斐田晴,,男性,,,,TRUE,https://youtu.be/mXtmU1Rmel8?si=QINM4nfRAgpJqVd0,,FALSE,,,FALSE,FALSE,TRUE,,,FALSE,TRUE,https://linkco.re/qMXZnTAB,FALSE,https://www.youtube.com/live/fetc0Exwa8M?si=uV3i83ei-acK1nrq&t=3428,,3Dお披露目,,,,,,,185,5,,15,,,,,10,30,,,,,10,5,10,15,,8,1,30,12.5,100,
【Cover】DONBURA KONBURA SPEAKERS,https://youtu.be/Wwon9qK-vpQ?si=4yT0wlc1NG9Fxq-l,2022/06/24,長尾景、弦月藤士郎、甲斐田晴,VΔLZ,箱内カバー,原曲：Ranunculus(ラナンキュラス),,,FALSE,https://youtu.be/Wwon9qK-vpQ?si=4yT0wlc1NG9Fxq-l,,FALSE,,,FALSE,FALSE,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
