曲名,サムネ用リンク,MVリンク,フル尺リンク,MV公開,3Dリンク,3Dリンク2,公開日,ユニット,歌唱,歌唱2,歌唱3,男女,外部,箱内カバー,全体曲,ライバー自身が制作（作曲・イラスト等）,備考,備考2,備考3,備考4,踊ろう！,振付リンク,振付リンク2,オンラインライブ等で披露済,カラオケ（DAM）,カラオケ（JOYSOUND）,フィジカルCDリリース,デジタルリリース,サブスクリンク,独特なコーレス,3D配信リンク2,3D配信リンク3,メモ2,Shortsリンク,その他リンク,その他2,その他3,説明1,メモ3,BPM,疾走感,しっとり・チル,盛り上がる,熱い・パワフル,ワイルド・攻撃的,明るい・キラキラ,ハッピー・ポジティブ,ポップな,可愛い,爽やか,透明感,セクシー・色気がある,クール・かっこいい,オシャレ・スタイリッシュ,シリアス・ダーク,アンニュイ・ネガティブ,神秘的・幻想的,壮大・ドラマチック,切ない・ノスタルジック,温かい・優しい,エモーショナル,クセが強い・ユニーク,個数,25↑,最大値,平均,確認用,
Virtual to LIVE,https://youtu.be/zPMWAj54Seg?si=7-b7NM4wiDLquPY9,https://youtu.be/zPMWAj54Seg?si=7-b7NM4wiDLquPY9,,TRUE,,,2019/08/20,にじさんじ,月ノ美兎、静凛、樋口楓、える、森中花咲、剣持刀也、シスタークレア、ドーラ、緑仙、本間ひまわり、鷹宮リオン、ジョー・力一,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,TRUE,TRUE,https://linkco.re/AYNXHSSZ?lang=ja,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
イツライ,https://youtu.be/sH5MVf7o_NQ?si=ISqmj18YvrYGWSLM,https://youtu.be/sH5MVf7o_NQ?si=ISqmj18YvrYGWSLM,,TRUE,,,2020/03/25,,緑仙,,,"男性ソロ, 女性ソロ",FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,,,FALSE,FALSE,FALSE,TRUE,https://linkco.re/R5qa6yAd,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浮世の演舞,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,https://youtu.be/3mTTZuvhdHI?si=3CYIwPcdi0OKiYuq,,TRUE,https://youtu.be/YhHoxoycFg8?si=kuo6VwjReHaVx3Il,,2020/04/04,VΔLZ,長尾景、弦月藤士郎、甲斐田晴,,,男性ユニット,FALSE,FALSE,FALSE,TRUE,作詞：VΔLZ,作曲・編曲：弦月藤士郎,,,FALSE,,,,TRUE,TRUE,FALSE,FALSE,,FALSE,,,,,https://www.youtube.com/live/7K0ouzmSCSE?si=HwqeI_kG8hAVbRoP&t=1848,,,VΔLZの出身地『桜魔帝国』を表すような和風エレクトロな雰囲気の楽曲。初配信時にリレーお披露目された。,VS,128,,,,10,,,,,,,,,30,25,25,,,10,,,,,5,3,30,20,100,
てあらいうがいの歌,https://youtu.be/v6kxNhlDhBg?si=ir3-nDlfwEgZV00D,https://youtu.be/v6kxNhlDhBg?si=ir3-nDlfwEgZV00D,,TRUE,,,2020/06/07,,名取さな、健屋花那,,,女性ユニット,TRUE,FALSE,FALSE,TRUE,作詞：弦月藤士郎、健屋花那,作曲：弦月藤士郎,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L♡ファンファーレ,https://youtu.be/Iv_yUMO6PaA?si=A1cQifasOPvL_wni,https://youtu.be/Iv_yUMO6PaA?si=A1cQifasOPvL_wni,,TRUE,,,2020/09/01,▽▲TRiNITY▲▽,鷹宮リオン、葉加瀬冬雪、フレン・E・ルスタリオ,,,女性ユニット,FALSE,FALSE,FALSE,TRUE,作詞：▽▲TRiNITY▲▽,作曲：弦月藤士郎,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/85fqz0mB,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
into reality,https://www.youtube.com/watch?v=BR-aIzE3QI0,https://www.youtube.com/watch?v=BR-aIzE3QI0,,TRUE,,,2020/09/13,NIJISANJI ID,タカ・ラジマン、ゼア・コルネリア、ハナ・マキア、ライ・ガリレイ、アミシア・ミシェラ、ミユ・オッタフィア、リクサ・ディレンドラ、アズラ・セシリア、ナラ・ハラマウン、ライラ・アルストロエメリア、エトナ・クリムソン、ボンニフィエール・プラナジャ、シスカ・レオンタイン,,,男女混合,FALSE,FALSE,TRUE,FALSE,,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/PvpCUz8X,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
マヨナカヨナカ,https://youtu.be/bGqICKcQFA8?si=nruZcxEfqumrIi6T,https://youtu.be/bGqICKcQFA8?si=nruZcxEfqumrIi6T,,TRUE,,,2020/11/02,,弦月藤士郎,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,音楽：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神様の願いを叶えた歌,https://youtu.be/kT_Jg-v6hAo?si=Wi0Uo2NEtrbJ4NcK,https://youtu.be/kT_Jg-v6hAo?si=Wi0Uo2NEtrbJ4NcK,,TRUE,,,2020/12/14,,長尾景,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,作詞（作マロ）：長尾景、リスナー、神田笑一,作曲・MIX・オケ制作：弦月藤士郎,Special Thanks：フミ,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
＼ちょっと男子ィ！／,https://youtu.be/lh9_npg5DgY?si=_i1eapF3I5DOtyPo,,,FALSE,,,2021/03/03,,弦月藤士郎,,,男性ソロ,FALSE,FALSE,FALSE,TRUE,音楽・動画：弦月藤士郎,,,,FALSE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全力ブーメラン,https://youtu.be/T6VAQxRd4KA?si=6uJtlniVb161Lboi,https://youtu.be/T6VAQxRd4KA?si=6uJtlniVb161Lboi,,TRUE,https://youtu.be/mihCKiivDHE?si=y0t3YtZEbXTTDPg9,,2021/04/01,こじらせハラスメント,緑仙、相羽ういは、弦月藤士郎,,,男女混合,FALSE,FALSE,FALSE,TRUE,作詞・作曲：弦月藤士郎,,,,FALSE,,,,TRUE,TRUE,FALSE,TRUE,https://linkco.re/UtCyTfc6,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
