分類,配信内容,配信日,曲名,歌手名,リンク,甲斐田歌唱,コラボライバー,演奏
弾き語り,弾き語り配信,2020/04/22,カサブタ,千綿ヒデノリ,https://youtu.be/WJnaO0YQhiM?t=161,TRUE,,
弾き語り,弾き語り配信,2020/04/22,世界は恋に落ちている,CHiCO with HoneyWorks,https://youtu.be/WJnaO0YQhiM?t=385,TRUE,,
弾き語り,弾き語り配信,2020/04/22,気まぐれロマンティック,いきものがかり,https://youtu.be/WJnaO0YQhiM?t=556,TRUE,,
弾き語り,弾き語り配信,2020/04/22,カブトムシ,Aiko,https://youtu.be/WJnaO0YQhiM?t=711,TRUE,,
弾き語り,弾き語り配信,2020/04/22,Hello Goodbye&Hello,熊田杏里,https://youtu.be/WJnaO0YQhiM?t=1085,TRUE,,
弾き語り,弾き語り配信,2020/04/22,Catch the Moment,LiSA,https://youtu.be/WJnaO0YQhiM?t=1275,TRUE,,
弾き語り,弾き語り配信,2020/04/22,ハナミズキ,一青窈,https://youtu.be/WJnaO0YQhiM?t=1540,TRUE,,
弾き語り,弾き語り配信,2020/04/22,オリオンをなぞる,UNISON SQUARE GARDEN,https://youtu.be/WJnaO0YQhiM?t=1922,TRUE,,
弾き語り,弾き語り配信,2020/04/22,青いベンチ,サスケ,https://youtu.be/WJnaO0YQhiM?t=2080,TRUE,,
弾き語り,弾き語り配信,2020/04/22,浮世の演舞,VΔLZ,https://youtu.be/WJnaO0YQhiM?t=2462,TRUE,,
弾き語り,弾き語り配信,2020/04/22,First love,宇多田ヒカル,https://youtu.be/WJnaO0YQhiM?t=2560,TRUE,,
弾き語り,弾き語り配信,2020/04/22,小さきもの,林明日香,https://youtu.be/WJnaO0YQhiM?t=2770,TRUE,,
弾き語り,弾き語り配信,2020/04/22,決意の朝に,Aqua Timez,https://youtu.be/WJnaO0YQhiM?t=2926,TRUE,,
弾き語り,弾き語り配信,2020/04/22,Butter-Fly,和田光司,https://youtu.be/WJnaO0YQhiM?t=3330,TRUE,,
弾き語り,弾き語り配信,2020/04/26,真夏の果実,サザンオールスターズ,https://youtu.be/qjGzKuf3sE4?t=292,TRUE,,
弾き語り,弾き語り配信,2020/04/26,白日,King Gnu,https://youtu.be/qjGzKuf3sE4?t=715,TRUE,,
弾き語り,弾き語り配信,2020/04/26,瞬き,back number,https://youtu.be/qjGzKuf3sE4?t=1190,TRUE,,
弾き語り,弾き語り配信,2020/04/26,風が吹く街,ラックライフ,https://youtu.be/qjGzKuf3sE4?t=1625,TRUE,,
弾き語り,弾き語り配信,2020/04/26,Departures ~あなたに贈るアイの歌 ~,EGOIST,https://youtu.be/qjGzKuf3sE4?t=1962,TRUE,,
弾き語り,弾き語り配信,2020/04/26,らいおんハート,SMAP,https://youtu.be/qjGzKuf3sE4?t=2180,TRUE,,
弾き語り,弾き語り配信,2020/04/26,シルシ,LiSA,https://youtu.be/qjGzKuf3sE4?t=2410,TRUE,,
弾き語り,弾き語り配信,2020/04/26,こいのうた,戸松遥,https://youtu.be/qjGzKuf3sE4?t=2900,TRUE,,
弾き語り,弾き語り配信,2020/04/26,恋愛サーキュレーション,花澤香菜,https://youtu.be/qjGzKuf3sE4?t=3030,TRUE,,
音源協力,ギター音源協力,2020/04/30,チチをもげ！,パルコ・フォルゴレ(高橋広樹),https://www.youtube.com/live/e-JjJecRblU?si=q4ax7e4mR29BXqNS&t=1361,FALSE,メリッサ・キンレンカ,
弾き語り,弾き語り配信,2020/05/03,ミカヅキ,酸欠少女さユり,https://youtu.be/4LQJ7thFLrc?t=220,TRUE,,
弾き語り,弾き語り配信,2020/05/03,アゲハ蝶,ポルノグラフィティ,https://youtu.be/4LQJ7thFLrc?t=395,TRUE,,
弾き語り,弾き語り配信,2020/05/03,Legend of Marmaid,中田あすみ・寺門仁美・浅野まゆみ,https://youtu.be/4LQJ7thFLrc?t=870,TRUE,,
弾き語り,弾き語り配信,2020/05/03,太陽の楽園 ~Promised Land ~,神戸みゆき,https://youtu.be/4LQJ7thFLrc?t=1203,TRUE,,
弾き語り,弾き語り配信,2020/05/03,こころのたまご,Buono!,https://youtu.be/4LQJ7thFLrc?t=1353,TRUE,,
弾き語り,弾き語り配信,2020/05/03,Wishing,水瀬いのり,https://youtu.be/4LQJ7thFLrc?t=1520,TRUE,,
弾き語り,弾き語り配信,2020/05/03,ファンサ,mona,https://youtu.be/4LQJ7thFLrc?t=1863,TRUE,,
弾き語り,弾き語り配信,2020/05/03,SHAMLOCK,UVERworld,https://youtu.be/4LQJ7thFLrc?t=2445,TRUE,,
弾き語り,弾き語り配信,2020/05/03,変わらないもの,奥華子,https://youtu.be/4LQJ7thFLrc?t=2950,TRUE,,
弾き語り,弾き語り配信,2020/05/03,七色のコンパス,一ノ瀬トキヤ,https://youtu.be/4LQJ7thFLrc?t=3382,TRUE,,
弾き語り,弾き語り配信,2020/05/03,桃色片思い,松浦亜弥,https://youtu.be/4LQJ7thFLrc?t=3620,TRUE,,
弾き語り,弾き語り配信,2020/05/03,恋するフォーチュンクッキー,AKB48,https://youtu.be/4LQJ7thFLrc?t=3810,TRUE,,
弾き語り,弾き語り配信,2020/05/03,空色デイズ,中川翔子,https://youtu.be/4LQJ7thFLrc?t=4000,TRUE,,
弾き語り,弾き語り配信,2020/05/03,TSUNAMI,サザンオールスターズ,https://youtu.be/4LQJ7thFLrc?t=4313,TRUE,,
弾き語り,弾き語り配信,2020/05/06,Rain,秦基博,https://youtu.be/4QjGOfeflGs?t=285,TRUE,,
弾き語り,弾き語り配信,2020/05/06,きらきら武士,レキシ,https://youtu.be/4QjGOfeflGs?t=544,TRUE,,
弾き語り,弾き語り配信,2020/05/06,Rolling star,YUI,https://youtu.be/4QjGOfeflGs?t=810,TRUE,,
弾き語り,弾き語り配信,2020/05/06,スクランブル,SPYAIR,https://youtu.be/4QjGOfeflGs?t=1070,TRUE,,
弾き語り,弾き語り配信,2020/05/06,生きてこそ,Kiroro,https://youtu.be/4QjGOfeflGs?t=1445,TRUE,,
弾き語り,弾き語り配信,2020/05/06,君の知らない物語,Supercell,https://youtu.be/4QjGOfeflGs?t=2363,TRUE,,
弾き語り,弾き語り配信,2020/05/06,フィクション,sumika,https://youtu.be/4QjGOfeflGs?t=2522,TRUE,,
弾き語り,弾き語り配信,2020/05/06,亜麻色の髪の乙女,島谷ひとみ,https://youtu.be/4QjGOfeflGs?t=2643,TRUE,,
弾き語り,弾き語り配信,2020/05/06,赤いやねの家,ー,https://youtu.be/4QjGOfeflGs?t=2985,TRUE,,
弾き語り,弾き語り配信,2020/05/06,ニア,夏代孝明,https://youtu.be/4QjGOfeflGs?t=3220,TRUE,,
弾き語り,弾き語り配信,2020/05/06,366日,HY,https://youtu.be/4QjGOfeflGs?t=3505,TRUE,,
弾き語り,弾き語り配信,2020/05/06,涙そうそう,夏川りみ,https://youtu.be/4QjGOfeflGs?t=3915,TRUE,,
弾き語り,弾き語り配信,2020/05/08,お願いマッスル,紗倉ひびき(ファイルーズあい)＆街雄鳴造(石川界人),https://youtu.be/uuMhJBBZOU0?t=440,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/08,ひまわりの約束,秦基博,https://www.youtube.com/live/uuMhJBBZOU0?si=1wSNFn5wawBR5bSC&t=938,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/08,別の人の彼女になったよ,Wacci,https://www.youtube.com/live/uuMhJBBZOU0?si=zGVfPa9QE-za-Wu3&t=1450,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/08,青いベンチ,サスケ,https://www.youtube.com/live/uuMhJBBZOU0?si=SxKCg71hoo1vfBNN&t=1989,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/08,メリッサ,ポルノグラフィティ,https://youtu.be/uuMhJBBZOU0?t=2604,TRUE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/08,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,https://www.youtube.com/live/uuMhJBBZOU0?si=MMJzbk6PyFNfabkJ&t=3594,FALSE,レヴィ・エリファ,
弾き語り,弾き語り配信,2020/05/11,星の唄,buzzG,https://youtu.be/qxU7b1mSwKE?t=318,TRUE,,
弾き語り,弾き語り配信,2020/05/11,夜もすがら君想う,TOKOTOKO(西沢さんP),https://youtu.be/qxU7b1mSwKE?t=680,TRUE,,
弾き語り,弾き語り配信,2020/05/11,恋空予報,電ポルP,https://youtu.be/qxU7b1mSwKE?t=1072,TRUE,,
弾き語り,弾き語り配信,2020/05/11,シャルル,バルーン,https://youtu.be/qxU7b1mSwKE?t=1466,TRUE,,
弾き語り,弾き語り配信,2020/05/11,からくりピエロ,40mP,https://youtu.be/qxU7b1mSwKE?t=1766,TRUE,,
弾き語り,弾き語り配信,2020/05/11,砂の惑星,ハチ,https://youtu.be/qxU7b1mSwKE?t=2697,TRUE,,
弾き語り,弾き語り配信,2020/05/11,GAJLOWS BELL,buzzG,https://youtu.be/qxU7b1mSwKE?t=2983,TRUE,,
弾き語り,弾き語り配信,2020/05/11,ワールド・ランプシェード,buzzG,https://youtu.be/qxU7b1mSwKE?t=3479,TRUE,,
弾き語り,弾き語り配信,2020/05/11,ヒバナ,DECO*27,https://youtu.be/qxU7b1mSwKE?t=3646,TRUE,,
弾き語り,弾き語り配信,2020/05/11,アヤノの幸福理論,じん,https://youtu.be/qxU7b1mSwKE?t=3804,TRUE,,
弾き語り,弾き語り配信,2020/05/11,想像フォレスト,じん,https://youtu.be/qxU7b1mSwKE?t=3994,TRUE,,
弾き語り,弾き語り配信,2020/05/11,如月アテンション,じん,https://youtu.be/qxU7b1mSwKE?t=4150,TRUE,,
弾き語り,弾き語り配信,2020/05/11,ハロハワユ,ナノウ,https://youtu.be/qxU7b1mSwKE?t=4282,TRUE,,
弾き語り,弾き語り配信,2020/05/11,心做し,蝶々P,https://youtu.be/qxU7b1mSwKE?t=4708,TRUE,,
弾き語り,弾き語り配信,2020/05/11,地球最後の告白を,kemu,https://youtu.be/qxU7b1mSwKE?t=5129,TRUE,,
弾き語り,弾き語り配信,2020/05/11,ピエロ,KEI,https://youtu.be/qxU7b1mSwKE?t=5290,TRUE,,
弾き語り,弾き語り配信,2020/05/12,プラネタリウム,大塚愛, https://youtu.be/by1ELpQq6LA?t=374,TRUE,,
弾き語り,弾き語り配信,2020/05/12,硝子の少年,KinKi Kids, https://youtu.be/by1ELpQq6LA?t=663,TRUE,,
弾き語り,弾き語り配信,2020/05/12,光るなら,Goosehouse, https://youtu.be/by1ELpQq6LA?t=1074,TRUE,,
弾き語り,弾き語り配信,2020/05/12,カワキヲアメク,美波, https://youtu.be/by1ELpQq6LA?t=1449,TRUE,,
弾き語り,弾き語り配信,2020/05/12,ここにしか咲かない花,コブクロ, https://youtu.be/by1ELpQq6LA?t=1677,TRUE,,
弾き語り,弾き語り配信,2020/05/12,CHANGE THE WORLD,V6, https://youtu.be/by1ELpQq6LA?t=2282,TRUE,,
弾き語り,弾き語り配信,2020/05/12,ひまわりの約束,秦基博, https://youtu.be/by1ELpQq6LA?t=2787,TRUE,,
