分類,配信内容,配信日,No.,曲名,歌手名,リンク,甲斐田歌唱,コラボライバー,演奏
弾き語り,収益化記念弾き語り,2020/04/22,1,カサブタ,千綿ヒデノリ,https://youtu.be/WJnaO0YQhiM?t=161,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,2,世界は恋に落ちている,CHiCO with HoneyWorks,https://youtu.be/WJnaO0YQhiM?t=385,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,3,気まぐれロマンティック,いきものがかり,https://youtu.be/WJnaO0YQhiM?t=556,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,4,カブトムシ,Aiko,https://youtu.be/WJnaO0YQhiM?t=711,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,5,Hello Goodbye&Hello,熊田杏里,https://youtu.be/WJnaO0YQhiM?t=1085,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,6,Catch the Moment,LiSA,https://youtu.be/WJnaO0YQhiM?t=1275,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,7,ハナミズキ,一青窈,https://youtu.be/WJnaO0YQhiM?t=1540,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,8,オリオンをなぞる,UNISON SQUARE GARDEN,https://youtu.be/WJnaO0YQhiM?t=1922,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,9,青いベンチ,サスケ,https://youtu.be/WJnaO0YQhiM?t=2080,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,10,浮世の演舞,VΔLZ,https://youtu.be/WJnaO0YQhiM?t=2462,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,11,First love,宇多田ヒカル,https://youtu.be/WJnaO0YQhiM?t=2560,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,12,小さきもの,林明日香,https://youtu.be/WJnaO0YQhiM?t=2770,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,13,決意の朝に,Aqua Timez,https://youtu.be/WJnaO0YQhiM?t=2926,TRUE,,
弾き語り,収益化記念弾き語り,2020/04/22,14,Butter-Fly,和田光司,https://youtu.be/WJnaO0YQhiM?t=3330,TRUE,,
弾き語り,弾き語り配信,2020/04/26,1,真夏の果実,サザンオールスターズ,https://youtu.be/qjGzKuf3sE4?t=292,TRUE,,
弾き語り,弾き語り配信,2020/04/26,2,白日,King Gnu,https://youtu.be/qjGzKuf3sE4?t=715,TRUE,,
弾き語り,弾き語り配信,2020/04/26,3,瞬き,back number,https://youtu.be/qjGzKuf3sE4?t=1190,TRUE,,
弾き語り,弾き語り配信,2020/04/26,4,風が吹く街,ラックライフ,https://youtu.be/qjGzKuf3sE4?t=1625,TRUE,,
弾き語り,弾き語り配信,2020/04/26,5,Departures ~あなたに贈るアイの歌 ~,EGOIST,https://youtu.be/qjGzKuf3sE4?t=1962,TRUE,,
弾き語り,弾き語り配信,2020/04/26,6,らいおんハート,SMAP,https://youtu.be/qjGzKuf3sE4?t=2180,TRUE,,
弾き語り,弾き語り配信,2020/04/26,7,シルシ,LiSA,https://youtu.be/qjGzKuf3sE4?t=2410,TRUE,,
弾き語り,弾き語り配信,2020/04/26,8,こいのうた,戸松遥,https://youtu.be/qjGzKuf3sE4?t=2900,TRUE,,
弾き語り,弾き語り配信,2020/04/26,9,恋愛サーキュレーション,花澤香菜,https://youtu.be/qjGzKuf3sE4?t=3030,TRUE,,
"音源協力, 演奏のみ",ギター音源協力,2020/04/30,1,チチをもげ！,パルコ・フォルゴレ(高橋広樹),https://www.youtube.com/live/e-JjJecRblU?si=q4ax7e4mR29BXqNS&t=1361,FALSE,メリッサ・キンレンカ,
弾き語り,弾き語り配信,2020/05/03,1,ミカヅキ,酸欠少女さユり,https://youtu.be/4LQJ7thFLrc?t=220,TRUE,,
弾き語り,弾き語り配信,2020/05/03,2,アゲハ蝶,ポルノグラフィティ,https://youtu.be/4LQJ7thFLrc?t=395,TRUE,,
弾き語り,弾き語り配信,2020/05/03,3,Legend of Marmaid,中田あすみ・寺門仁美・浅野まゆみ,https://youtu.be/4LQJ7thFLrc?t=870,TRUE,,
弾き語り,弾き語り配信,2020/05/03,4,太陽の楽園 ~Promised Land ~,神戸みゆき,https://youtu.be/4LQJ7thFLrc?t=1203,TRUE,,
弾き語り,弾き語り配信,2020/05/03,5,こころのたまご,Buono!,https://youtu.be/4LQJ7thFLrc?t=1353,TRUE,,
弾き語り,弾き語り配信,2020/05/03,6,Wishing,水瀬いのり,https://youtu.be/4LQJ7thFLrc?t=1520,TRUE,,
弾き語り,弾き語り配信,2020/05/03,7,ファンサ,mona,https://youtu.be/4LQJ7thFLrc?t=1863,TRUE,,
弾き語り,弾き語り配信,2020/05/03,8,SHAMLOCK,UVERworld,https://youtu.be/4LQJ7thFLrc?t=2445,TRUE,,
弾き語り,弾き語り配信,2020/05/03,9,変わらないもの,奥華子,https://youtu.be/4LQJ7thFLrc?t=2950,TRUE,,
弾き語り,弾き語り配信,2020/05/03,10,七色のコンパス,一ノ瀬トキヤ,https://youtu.be/4LQJ7thFLrc?t=3382,TRUE,,
弾き語り,弾き語り配信,2020/05/03,11,桃色片思い,松浦亜弥,https://youtu.be/4LQJ7thFLrc?t=3620,TRUE,,
弾き語り,弾き語り配信,2020/05/03,12,恋するフォーチュンクッキー,AKB48,https://youtu.be/4LQJ7thFLrc?t=3810,TRUE,,
弾き語り,弾き語り配信,2020/05/03,13,空色デイズ,中川翔子,https://youtu.be/4LQJ7thFLrc?t=4000,TRUE,,
弾き語り,弾き語り配信,2020/05/03,14,TSUNAMI,サザンオールスターズ,https://youtu.be/4LQJ7thFLrc?t=4313,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,1,Rain,秦基博,https://youtu.be/4QjGOfeflGs?t=285,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,2,きらきら武士,レキシ,https://youtu.be/4QjGOfeflGs?t=544,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,3,Rolling star,YUI,https://youtu.be/4QjGOfeflGs?t=810,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,4,スクランブル,SPYAIR,https://youtu.be/4QjGOfeflGs?t=1070,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,5,生きてこそ,Kiroro,https://youtu.be/4QjGOfeflGs?t=1445,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,6,君の知らない物語,Supercell,https://youtu.be/4QjGOfeflGs?t=2363,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,7,フィクション,sumika,https://youtu.be/4QjGOfeflGs?t=2522,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,8,亜麻色の髪の乙女,島谷ひとみ,https://youtu.be/4QjGOfeflGs?t=2643,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,9,赤いやねの家,ー,https://youtu.be/4QjGOfeflGs?t=2985,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,10,ニア,夏代孝明,https://youtu.be/4QjGOfeflGs?t=3220,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,11,366日,HY,https://youtu.be/4QjGOfeflGs?t=3505,TRUE,,
弾き語り,5万人記念弾き語り,2020/05/06,12,涙そうそう,夏川りみ,https://youtu.be/4QjGOfeflGs?t=3915,TRUE,,
"弾き語り, コラボ",弾き語りコラボ配信,2020/05/08,1,お願いマッスル,紗倉ひびき(ファイルーズあい)＆街雄鳴造(石川界人),https://youtu.be/uuMhJBBZOU0?t=440,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語りコラボ配信,2020/05/08,2,ひまわりの約束,秦基博,https://www.youtube.com/live/uuMhJBBZOU0?si=1wSNFn5wawBR5bSC&t=938,FALSE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語りコラボ配信,2020/05/08,3,別の人の彼女になったよ,Wacci,https://www.youtube.com/live/uuMhJBBZOU0?si=zGVfPa9QE-za-Wu3&t=1450,FALSE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語りコラボ配信,2020/05/08,4,青いベンチ,サスケ,https://www.youtube.com/live/uuMhJBBZOU0?si=SxKCg71hoo1vfBNN&t=1989,TRUE,レヴィ・エリファ,甲斐田晴
"弾き語り, コラボ",弾き語りコラボ配信,2020/05/08,5,メリッサ,ポルノグラフィティ,https://youtu.be/uuMhJBBZOU0?t=2604,TRUE,レヴィ・エリファ,甲斐田晴
"コラボ, 演奏のみ",弾き語りコラボ配信,2020/05/08,6,ようこそジャパリパークへ,どうぶつビスケッツ×PPP,https://www.youtube.com/live/uuMhJBBZOU0?si=MMJzbk6PyFNfabkJ&t=3594,FALSE,レヴィ・エリファ,甲斐田晴
弾き語り,弾き語り配信,2020/05/11,1,星の唄,buzzG,https://youtu.be/qxU7b1mSwKE?t=318,TRUE,,
弾き語り,弾き語り配信,2020/05/11,2,夜もすがら君想う,TOKOTOKO(西沢さんP),https://youtu.be/qxU7b1mSwKE?t=680,TRUE,,
弾き語り,弾き語り配信,2020/05/11,3,恋空予報,電ポルP,https://youtu.be/qxU7b1mSwKE?t=1072,TRUE,,
弾き語り,弾き語り配信,2020/05/11,4,シャルル,バルーン,https://youtu.be/qxU7b1mSwKE?t=1466,TRUE,,
弾き語り,弾き語り配信,2020/05/11,5,からくりピエロ,40mP,https://youtu.be/qxU7b1mSwKE?t=1766,TRUE,,
弾き語り,弾き語り配信,2020/05/11,6,砂の惑星,ハチ,https://youtu.be/qxU7b1mSwKE?t=2697,TRUE,,
弾き語り,弾き語り配信,2020/05/11,7,GAJLOWS BELL,buzzG,https://youtu.be/qxU7b1mSwKE?t=2983,TRUE,,
弾き語り,弾き語り配信,2020/05/11,8,ワールド・ランプシェード,buzzG,https://youtu.be/qxU7b1mSwKE?t=3479,TRUE,,
